1163	Zella74Airport	Zella74	Libya	\N	HLZA	28.58989906	17.29389954	1085	2	N	Africa/Tripoli	airport	OurAirports
8538	ZelienopleMunicipalAirport	Zelienople	UnitedStates	\N	KPJC	40.80160141	-80.16069794	898	-5	A	America/NewYork	airport	OurAirports
876	ZeerustAirport	Zeerust	SouthAfrica	\N	FAZR	-25.59900093	26.04229927	4258	2	U	Africa/Johannesburg	airport	OurAirports
244	InAménasAirport	Zarzaitine	Algeria	IAM	DAUZ	28.0515	9.64291	1847	1	N	Africa/Algiers	airport	OurAirports
278	ZariaAirport	Zaria	Nigeria	ZAR	DNZA	11.1302	7.68581	2170	1	N	Africa/Lagos	airport	OurAirports
7500	ZaranjAirport	Zaranj	Afghanistan	ZAJ	OAZJ	30.972222	61.865833	1572	4.5	U	Asia/Kabul	airport	OurAirports
1252	ZaragozaAirBase	Zaragoza	Spain	ZAZ	LEZG	41.66619873	-1.04155004	863	1	E	Europe/Madrid	airport	OurAirports
6754	SugralyAirport	Zarafshan	Uzbekistan	AFS	UTSN	41.61389923	64.23320007	1396	5	U	Asia/Samarkand	airport	OurAirports
8776	ZaqatalaInternationalAirport	Zaqatala	Azerbaijan	ZTU	UBBY	41.562222	46.667221	1279	4	E	Asia/Baku	airport	OurAirports
6103	ZaporizhzhiaInternationalAirport	Zaporozhye	Ukraine	OZH	UKDE	47.86700058	35.31570053	373	2	E	Europe/Kiev	airport	OurAirports
1859	ZapopanAirport	Zapopan	Mexico	\N	MMZP	20.747922	-103.461709	5333	-6	S	America/MexicoCity	airport	OurAirports
7221	ZapalaAirport	ZAPALA	Argentina	APZ	SAHZ	-38.975498	-70.113602	3330	-3	N	America/Argentina/Salta	airport	OurAirports
1186	AbeidAmaniKarumeInternationalAirport	Zanzibar	Tanzania	ZNZ	HTZA	-6.22202	39.224899	54	3	U	Africa/DaresSalaam	airport	OurAirports
2163	ZanjanAirport	Zanjan	Iran	JWN	OITZ	36.77370071	48.3594017	5382	3.5	E	Asia/Tehran	airport	OurAirports
11868	ZanesvilleMunicipalAirport	Zanesville	UnitedStates	ZZV	KZZV	39.94440079	-81.89209747	900	\N	\N	\N	airport	OurAirports
2773	JohanAdolfPengelInternationalAirport	Zandery	Suriname	PBM	SMJP	5.452829838	-55.18780136	59	-3	U	America/Paramaribo	airport	OurAirports
1857	ZamoraAirport	Zamora	Mexico	ZMM	MMZM	20.045	-102.276001	5141	-6	S	America/MexicoCity	airport	OurAirports
2404	ZamboangaInternationalAirport	Zamboanga	Philippines	ZAM	RPMZ	6.922420025	122.0599976	33	8	N	Asia/Manila	airport	OurAirports
2358	KastnerArmyHeliport	Zama	Japan	\N	RJTR	35.51380157	139.3939972	360	9	U	Asia/Tokyo	airport	OurAirports
1488	ZakynthosInternationalAirportDionysiosSolomos	Zakynthos	Greece	ZTH	LGZA	37.7509	20.8843	15	2	E	Europe/Athens	airport	OurAirports
2167	ZahedanInternationalAirport	Zahedan	Iran	ZAH	OIZH	29.47570038	60.90620041	4564	3.5	E	Asia/Tehran	airport	OurAirports
1208	ZagrebAirport	Zagreb	Croatia	ZAG	LDZA	45.74290085	16.06879997	353	1	E	Europe/Zagreb	airport	OurAirports
8335	ZagoraAirport	Zagora	Morocco	OZG	GMAZ	30.32029915	-5.866670132	2631	0	U	Africa/Casablanca	airport	OurAirports
1209	ZadarAirport	Zadar	Croatia	ZAD	LDZD	44.108299	15.3467	289	1	E	Europe/Zagreb	airport	OurAirports
1855	GeneralLeobardoC.RuizInternationalAirport	Zacatecas	Mexico	ZCL	MMZC	22.89710045	-102.6869965	7141	-6	S	America/MexicoCity	airport	OurAirports
2165	ZabolAirport	Zabol	Iran	ACZ	OIZB	31.09830093	61.54389954	1628	3.5	E	Asia/Tehran	airport	OurAirports
6497	Yverdon-les-BainsAirport	Yverdon-Les-Bains	Switzerland	\N	LSGY	46.76190186	6.613329887	1421	1	E	Europe/Zurich	airport	OurAirports
2933	Yuzhno-SakhalinskAirport	Yuzhno-sakhalinsk	Russia	UUS	UHSS	46.88869858	142.7180023	59	11	N	Asia/Srednekolymsk	airport	OurAirports
13429	MendeleyevoAirport	Yuzhno-Kurilsk	Russia	DEE	UHSM	43.95840073	145.6829987	584	11	N	\N	airport	OurAirports
8782	CoomaHospitalHelipad	Yuzhno-Kurilsk	Russia	\N	YXCM	-36.242155	149.130147	2656	10	N	Australia/Sydney	airport	OurAirports
7894	YushuBatangAirport	Yushu	China	YUS	ZYLS	32.83638889	97.03638889	12816	8	U	Asia/Shanghai	airport	OurAirports
2797	MoisesBenzaquenRengifoAirport	Yurimaguas	Peru	YMS	SPMS	-5.893770218	-76.11820221	587	-5	U	America/Lima	airport	OurAirports
6430	YunchengGuangongAirport	Yuncheng	China	YCU	ZBYC	35.116391	111.0313889	1242	8	N	Asia/Shanghai	airport	OurAirports
3596	YumaMCAS/YumaInternationalAirport	Yuma	UnitedStates	YUM	KNYL	32.65660095	-114.6060028	213	-7	N	America/Phoenix	airport	OurAirports
6368	YulinYuyangAirport	Yulin	China	UYN	ZLYL	38.35971	109.590927	0	8	U	Asia/Shanghai	airport	OurAirports
8395	YuendumuAirport	Yuendumu	Australia	YUE	YYND	-22.25419998	131.7819977	2205	9.5	O	Australia/Darwin	airport	OurAirports
12217	MountAllanAirport	Yuelamu	Australia	\N	YMNA	-22.27499962	132.2169952	0	9.5	N	\N	airport	OurAirports
7875	YubaCountyAirport	YubaCity	UnitedStates	MYV	KMYV	39.09780121	-121.5699997	64	-8	A	America/LosAngeles	airport	OurAirports
14090	YuanmouAirBase	Yuanmou	China	YUA	ZPYM	25.73749924	101.8820038	3810	\N	\N	\N	airport	OurAirports
