145 TuktoyaktukAirport Tuktoyaktuk Canada YUB CYUB 69.43329620361328 -133.0260009765625 15 -7 A America/Edmonton airport OurAirports 
196 YellowknifeAirport Yellowknife Canada YZF CYZF 62.462799072265625 -114.44000244140625 675 -7 A America/Edmonton airport OurAirports 
7 NarsarsuaqAirport Narssarssuaq Greenland UAK BGBW 61.1604995728 -45.4259986877 112 -3 E America/Godthab airport OurAirports 
35 MiramichiAirport Chatham Canada YCH CYCH 47.007801 -65.449203 108 -4 A America/Halifax airport OurAirports 
163 WrigleyAirport Wrigley Canada YWY CYWY 63.20940017700195 -123.43699645996094 489 -7 A America/Edmonton airport OurAirports 
107 PeterboroughAirport Peterborough Canada YPQ CYPQ 44.22999954223633 -78.36329650878906 628 -5 A America/Toronto airport OurAirports 
142 CFBTrenton Trenton Canada YTR CYTR 44.118900299072266 -77.5280990600586 283 -5 A America/Toronto airport OurAirports 
55 IqaluitAirport Iqaluit Canada YFB CYFB 63.756402 -68.555801 110 -5 A America/Toronto airport OurAirports 
176 Whitehorse/ErikNielsenInternationalAirport Whitehorse Canada YXY CYXY 60.7095985413 -135.067001343 2317 -8 A America/Vancouver airport OurAirports 
199 ChrisHadfieldAirport Sarnia Canada YZR CYZR 42.9994010925293 -82.30889892578125 594 -5 A America/Toronto airport OurAirports 
5 PortMoresbyJacksonsInternationalAirport PortMoresby PapuaNewGuinea POM AYPY -9.443380355834961 147.22000122070312 146 10 U Pacific/PortMoresby airport OurAirports 
66 HudsonBayAirport HudsonBay Canada YHB CYHB 52.8166999817 -102.310997009 1175 -6 N America/Regina airport OurAirports 
160 Winnipeg/JamesArmstrongRichardsonInternationalAirport Winnipeg Canada YWG CYWG 49.909999847399995 -97.2398986816 783 -6 A America/Winnipeg airport OurAirports 
119 ComoxAirport Comox Canada YQQ CYQQ 49.71080017089844 -124.88700103759766 84 -8 A America/Vancouver airport OurAirports 
122 GrandePrairieAirport GrandePrairie Canada YQU CYQU 55.1796989441 -118.885002136 2195 -7 A America/Edmonton airport OurAirports 
87 KelownaInternationalAirport Kelowna Canada YLW CYLW 49.9561004639 -119.377998352 1421 -8 A America/Vancouver airport OurAirports 
125 GanderInternationalAirport Gander Canada YQX CYQX 48.9369010925293 -54.56809997558594 496 -3.5 A America/StJohns airport OurAirports 
10 ThuleAirBase Thule Greenland THU BGTL 76.5311965942 -68.7032012939 251 -4 E America/Thule airport OurAirports 
164 Cranbrook/CanadianRockiesInternationalAirport Cranbrook Canada YXC CYXC 49.610801696777 -115.78199768066 3082 -7 A America/Edmonton airport OurAirports 
173 NorthwestRegionalAirportTerrace-Kitimat Terrace Canada YXT CYXT 54.468498 -128.576009 713 -8 A America/Vancouver airport OurAirports 
52 EdsonAirport Edson Canada YET CYET 53.578899383499994 -116.464996338 3043 -7 A America/Edmonton airport OurAirports 
